
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
193,Melvin Bullitt,IND,27,2,2,,1,15,0,15,1,,,,,,6,5,
194,Tim Bulman,HOU,29,10,0,,,,,,,,,,,,6,6,
195,Brodrick Bunkley,DEN,28,16,13,,,,,,,1,0,0,0,0,33,10,
196,Prescott Burgess,BAL,27,3,0,,,,,,,,,,,,2,1,
197,Nate Burleson,DET,30,16,11,,,,,,,0,1,1,3,0,4,0,
198,Kevin Burnett,MIA,29,16,16,2.5,1,34,1,34,3,,,,,,84,22,
199,Morgan Burnett,GNB,22,16,16,1.0,3,0,0,0,13,2,0,2,25,0,78,31,
200,Brandon Burton,MIN,22,10,1,,,,,,,,,,,,7,1,
201,Jarrett Bush,GNB,27,16,2,1.5,2,39,0,35,6,,,,,,26,4,
202,Michael Bush,OAK,27,16,9,,,,,,,0,1,0,0,0,1,0,
203,Rafael Bush,DEN,24,6,0,,,,,,,,,,,,3,0,
204,Reggie Bush,MIA,26,15,15,,,,,,,0,4,3,0,0,1,0,
205,Jermon Bushrod*,NOR,27,16,16,,,,,,,,,,,,1,0,
206,Darius Butler,CAR,25,13,6,,0,0,0,0,7,,,,,,27,5,
207,Donald Butler,SDG,23,16,16,2.0,1,2,0,2,2,2,0,1,37,1,75,19,
208,James Butler,STL,29,16,0,,,,,,,,,,,,10,1,
209,Victor Butler,DAL,24,16,0,3.0,0,0,0,0,1,,,,,,10,6,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
210,Jairus Byrd,BUF,25,16,16,1.0,3,88,1,37,8,3,0,1,0,0,75,23,
211,Jeremy Cain,JAX,31,16,0,,,,,,,0,1,0,-39,0,0,2,
212,Andre Caldwell,CIN,26,13,2,,,,,,,,,,,,2,0,
213,Antoine Caldwell,HOU,25,5,3,,,,,,,,,,,,1,0,
214,David Caldwell,IND,24,16,13,,0,0,0,0,4,,,,,,41,26,
215,Greg Camarillo,MIN,29,13,0,,,,,,,,,,,,2,0,
216,Calais Campbell,ARI,25,16,16,8.0,1,0,0,0,10,2,0,1,0,0,52,19,
217,Jason Campbell,OAK,30,6,6,,,,,,,0,3,1,0,0,,,
218,Tommie Campbell,TEN,24,15,0,,,,,,,1,1,0,0,0,4,4,
219,Chris Canty,NYG,29,16,16,4.0,0,0,0,0,2,,,,,,31,16,1
220,Don Carey,DET,24,5,0,,0,0,0,0,1,,,,,,7,4,
221,Vernon Carey,MIA,30,15,15,,,,,,,0,0,1,0,0,1,0,
222,Cooper Carlisle,OAK,34,16,16,,,,,,,,,,,,1,0,
223,Bobby Carpenter,DET,28,16,3,,1,34,1,34,1,,,,,,24,5,
224,Dan Carpenter,MIA,26,16,0,,,,,,,,,,,,4,0,
225,James Carpenter,SEA,22,9,9,,,,,,,,,,,,1,0,
226,Brandon Carr,KAN,25,16,16,,4,17,0,14,15,,,,,,39,6,
227,Chris Carr,BAL,28,9,1,1.0,0,0,0,0,5,,,,,,16,3,
228,Adam Carriker,WAS,27,16,15,5.5,,,,,,,,,,,19,15,
229,Alex Carrington,BUF,24,16,6,1.0,0,0,0,0,2,,,,,,11,5,
230,Nolan Carroll,MIA,24,15,3,,1,0,0,0,4,,,,,,24,4,
231,Andre Carter*,NWE,32,14,14,10.0,0,0,0,0,1,2,0,0,0,0,31,21,
232,Bruce Carter,DAL,23,10,0,,0,0,0,0,1,,,,,,5,3,
233,Chris Carter,PIT,22,8,0,,,,,,,,,,,,2,1,
234,David Carter,ARI,24,16,0,1.0,0,0,0,0,2,1,0,0,0,0,10,6,
235,Delone Carter,IND,24,16,3,,,,,,,0,3,0,0,0,0,1,
236,Quinton Carter,DEN,23,16,10,1.0,0,0,0,0,1,,,,,,45,11,
237,Rock Cartwright,OAK,32,15,0,,,,,,,,,,,,11,1,
238,Jurrell Casey,TEN,22,16,15,2.5,0,0,0,0,1,1,0,1,0,0,39,13,
239,Jonathan Casillas,NOR,24,13,5,3.0,0,0,0,0,2,,,,,,30,13,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
240,Antoine Cason,SDG,25,16,14,,2,69,0,64,17,,,,,,46,7,
241,Luis Castillo,SDG,28,1,1,,,,,,,,,,,,1,0,
242,Anthony Castonzo,IND,23,12,12,,,,,,,,,,,,2,1,
243,Mike Caussin,BUF,24,6,2,,,,,,,,,,,,5,1,
244,Brent Celek,PHI,26,16,16,,,,,,,,,,,,2,0,
245,Jacques Cesaire,SDG,31,12,2,,,,,,,,,,,,10,5,
246,Chris Chamberlain,STL,26,16,13,2.0,1,4,0,4,1,1,0,0,0,0,58,16,
247,Kam Chancellor*,SEA,23,15,15,1.0,4,27,0,9,12,2,0,1,0,0,73,22,
248,Scott Chandler,BUF,26,14,9,,,,,,,0,1,1,0,0,3,0,
249,Jamar Chaney,PHI,25,16,16,1.0,3,25,0,14,8,,,,,,67,24,
250,Jamaal Charles,KAN,25,2,1,,,,,,,0,1,0,0,0,1,0,
251,Jeff Charleston,NOR,28,10,0,1.0,,,,,,,,,,,5,4,
252,Chimdi Chekwa,OAK,23,4,1,,0,0,0,0,2,,,,,,6,2,
253,Gosder Cherilus,DET,27,16,15,,,,,,,,,,,,1,0,
254,Chris Chester,WAS,28,16,16,,,,,,,,,,,,1,0,
255,John Chick,JAX,29,11,0,2.5,0,0,0,0,2,1,0,0,0,0,7,1,
256,Tashard Choice,3TM,27,13,1,,,,,,,0,6,2,-2,0,,,
257,Patrick Chung,NWE,24,8,8,1.0,1,0,0,0,4,,,,,,39,28,
258,Barry Church,DAL,23,13,1,,,,,,,,,,,,16,7,
259,Ryan Clady*,DEN,25,16,16,,,,,,,,,,,,1,0,
260,Chris Clark,DEN,26,16,6,,,,,,,,,,,,1,0,
261,Dallas Clark,IND,32,11,10,,,,,,,0,1,0,0,0,2,0,
262,Ryan Clark*,PIT,32,16,16,1.0,1,10,0,10,5,,,,,,71,29,
263,Jeromey Clary,SDG,28,16,16,,,,,,,,,,,,1,0,
264,Adrian Clayborn,TAM,23,16,16,7.5,0,0,0,0,1,3,0,0,0,0,29,13,
265,Keenan Clayton,PHI,24,14,0,,0,0,0,0,2,,,,,,14,7,
266,Michael Clayton,NYG,29,5,0,,,,,,,,,,,,1,0,
267,Zach Clayton,TEN,23,3,0,,,,,,,,,,,,2,1,
268,Kellen Clemens,STL,28,3,3,,,,,,,0,2,1,0,0,,,
269,Nate Clements,CIN,32,15,15,1.0,2,5,0,7,13,2,1,2,0,0,49,6,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
270,Chris Clemons,SEA,30,16,16,11.0,0,0,0,0,5,3,0,0,0,0,34,17,
271,Chris Clemons,MIA,26,14,0,,,,,,,,,,,,11,2,
272,Colin Cloherty,JAX,24,4,1,,,,,,,0,0,1,8,1,2,1,
273,Tyler Clutts,CHI,27,16,8,,,,,,,0,1,0,0,0,2,0,
274,Randall Cobb,GNB,21,15,0,,,,,,,0,3,0,0,0,1,0,
275,Shaun Cody,HOU,28,16,16,1.0,0,0,0,0,2,0,0,1,0,0,16,7,
