
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
368,Ka'Deem Carey,CHI,22,13,0,3,2,18,9.0,0,11,0.2,1.4,0
369,Derrick Coleman,SEA,24,5,1,2,2,29,14.5,1,15,0.4,5.8,0
370,Michael Cox,NYG,25,4,0,3,2,9,4.5,0,9,0.5,2.3,0
371,Jonathan Dwyer,ARI,25,2,0,3,2,8,4.0,0,5,1.0,4.0,0
372,C.J. Fiedorowicz,HOU,23,11,6,4,2,16,8.0,0,9,0.2,1.5,0
373,T.J. Graham,NYJ,25,8,0,5,2,78,39.0,1,67,0.3,9.8,0
374,James Hanna,DAL,25,13,10,3,2,34,17.0,0,27,0.2,2.6,0
375,Gabe Jackson,OAK,23,9,8,2,2,-5,-2.5,0,1,0.2,-0.6,0
376,Nic Jacobs,JAX,23,9,4,3,2,16,8.0,1,14,0.2,1.8,0
377,Jeff Janis,GNB,23,3,0,2,2,16,8.0,0,9,0.7,5.3,0
378,Austin Johnson,NOR,25,7,1,2,2,15,7.5,1,13,0.3,2.1,0
379,Vance McDonald,SFO,24,8,4,8,2,30,15.0,0,21,0.3,3.8,1
380,Joe Morgan,NOR,26,4,2,5,2,69,34.5,0,62,0.5,17.3,0
381,Kevin Ogletree,NYG,27,3,0,3,2,25,12.5,0,13,0.7,8.3,0
382,Adrian Peterson,MIN,29,1,1,3,2,18,9.0,0,9,2.0,18.0,0
383,Bernard Pierce,BAL,24,9,2,5,2,13,6.5,0,7,0.2,1.4,1
384,Chris Polk,PHI,25,10,0,2,2,16,8.0,0,15,0.2,1.6,1
385,Joseph Randle,DAL,23,13,0,2,2,13,6.5,0,14,0.2,1.0,1
386,Silas Redd,WAS,22,11,0,3,2,9,4.5,0,5,0.2,0.8,0
387,Russell Shepard,TAM,24,12,0,2,2,30,15.0,0,22,0.2,2.5,0
388,Craig Stevens,TEN,30,5,4,2,2,26,13.0,0,20,0.4,5.2,0
389,Devin Street,DAL,23,13,0,7,2,18,9.0,0,9,0.2,1.4,0
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
390,Zach Sudfeld,NYJ,25,12,1,4,2,35,17.5,0,20,0.2,2.9,0
391,Phillip Supernaw,2TM,24,5,1,2,2,1,0.5,0,3,0.4,0.2,0
392,Taylor Thompson,TEN,25,3,1,4,2,24,12.0,0,13,0.7,8.0,0
393,Griff Whalen,IND,24,10,0,3,2,23,11.5,0,18,0.2,2.3,2
394,Isa Abdul-Quddus,DET,26,12,4,1,1,3,3.0,0,3,0.1,0.3,0
395,Khalif Barnes,OAK,32,10,9,1,1,1,1.0,0,1,0.1,0.1,1
396,Antwon Blake,PIT,24,12,1,1,1,25,25.0,0,25,0.1,2.1,0
397,Cameron Brate,TAM,23,1,1,1,1,17,17.0,0,17,1.0,17.0,0
398,Anthony Castonzo,IND,26,12,12,1,1,1,1.0,1,1,0.1,0.1,0
399,Tyler Clutts,DAL,30,13,1,1,1,1,1.0,0,1,0.1,0.1,0
400,Andy Dalton,CIN,27,12,12,1,1,18,18.0,1,18,0.1,1.5,2
401,Kevin Dorsey,GNB,24,3,0,2,1,4,4.0,0,4,0.3,1.3,0
